date,sector,above_50sma,above_200sma,new_52w_high,new_52w_low
2024-08-02,Communication Services,52.17391304347826,,,
2024-08-02,Consumer Discretionary,37.5,,,
2024-08-02,Consumer Staples,72.22222222222221,,,
2024-08-02,Energy,27.27272727272727,,,
2024-08-02,Financials,59.210526315789465,,,
2024-08-02,Health Care,78.33333333333333,,,
2024-08-02,Industrials,48.10126582278481,,,
2024-08-02,Information Technology,28.985507246376812,,,
2024-08-02,Materials,42.30769230769231,,,
2024-08-02,Real Estate,90.32258064516128,,,
2024-08-02,Utilities,83.87096774193549,,,
2024-08-09,Communication Services,65.21739130434783,,,
2024-08-09,Consumer Discretionary,37.5,,,
2024-08-09,Consumer Staples,69.44444444444444,,,
2024-08-09,Energy,45.45454545454545,,,
2024-08-09,Financials,69.73684210526315,,,
2024-08-09,Health Care,66.66666666666666,,,
2024-08-09,Industrials,55.69620253164557,,,
2024-08-09,Information Technology,37.68115942028986,,,
2024-08-09,Materials,34.61538461538461,,,
2024-08-09,Real Estate,90.32258064516128,,,
2024-08-09,Utilities,87.09677419354838,,,
2024-08-16,Communication Services,78.26086956521739,,,
2024-08-16,Consumer Discretionary,52.083333333333336,,,
2024-08-16,Consumer Staples,72.22222222222221,,,
2024-08-16,Energy,50.0,,,
2024-08-16,Financials,78.94736842105263,,,
2024-08-16,Health Care,75.0,,,
2024-08-16,Industrials,68.35443037974683,,,
2024-08-16,Information Technology,57.971014492753625,,,
2024-08-16,Materials,61.53846153846154,,,
2024-08-16,Real Estate,83.87096774193549,,,
2024-08-16,Utilities,87.09677419354838,,,
2024-08-23,Communication Services,86.95652173913044,,,
2024-08-23,Consumer Discretionary,72.91666666666666,,,
2024-08-23,Consumer Staples,72.22222222222221,,,
2024-08-23,Energy,45.45454545454545,,,
2024-08-23,Financials,85.52631578947368,,,
2024-08-23,Health Care,78.33333333333333,,,
2024-08-23,Industrials,83.54430379746836,,,
2024-08-23,Information Technology,71.01449275362319,,,
2024-08-23,Materials,84.61538461538461,,,
2024-08-23,Real Estate,100.0,,,
2024-08-23,Utilities,93.54838709677419,,,
2024-08-30,Communication Services,82.6086956521739,,,
2024-08-30,Consumer Discretionary,75.0,,,
